Source,Target,Weight
Afghanistan,Pakistan,14
Afghanistan,Turkmenistan,1
Pakistan,Turkmenistan,1
Sri Lanka,India,8
Sri Lanka,Spain,2
Sri Lanka,Italy,2
India,Spain,2
India,Italy,3
Spain,Italy,2
Afghanistan,United States,2
Afghanistan,Kenya,1
Afghanistan,Spain,1
Afghanistan,United Kingdom,2
Afghanistan,Turkey,2
Afghanistan,Yemen,2
Afghanistan,Tanzania,1
Afghanistan,Tunisia,1
Afghanistan,Somalia,1
Afghanistan,West Bank and Gaza Strip,2
Afghanistan,France,2
Pakistan,United States,2
Pakistan,Kenya,1
Pakistan,Spain,2
Pakistan,United Kingdom,1
Pakistan,Turkey,3
Pakistan,Yemen,4
Pakistan,Tanzania,1
Pakistan,Tunisia,1
Pakistan,Somalia,2
Pakistan,West Bank and Gaza Strip,3
Pakistan,France,2
United States,Kenya,1
United States,Spain,1
United States,United Kingdom,1
United States,Turkey,1
United States,Yemen,1
United States,Tanzania,1
United States,Tunisia,1
United States,Somalia,1
United States,West Bank and Gaza Strip,1
United States,France,1
Kenya,Spain,1
Kenya,United Kingdom,1
Kenya,Turkey,1
Kenya,Yemen,1
Kenya,Tanzania,1
Kenya,Tunisia,1
Kenya,Somalia,1
Kenya,West Bank and Gaza Strip,1
Kenya,France,1
Spain,United Kingdom,1
Spain,Turkey,2
Spain,Yemen,2
Spain,Tanzania,1
Spain,Tunisia,1
Spain,Somalia,1
Spain,West Bank and Gaza Strip,1
Spain,France,2
United Kingdom,Turkey,2
United Kingdom,Yemen,1
United Kingdom,Tanzania,1
United Kingdom,Tunisia,1
United Kingdom,Somalia,1
United Kingdom,West Bank and Gaza Strip,1
United Kingdom,France,3
Turkey,Yemen,3
Turkey,Tanzania,1
Turkey,Tunisia,1
Turkey,Somalia,1
Turkey,West Bank and Gaza Strip,2
Turkey,France,3
Yemen,Tanzania,1
Yemen,Tunisia,1
Yemen,Somalia,1
Yemen,West Bank and Gaza Strip,2
Yemen,France,2
Tanzania,Tunisia,1
Tanzania,Somalia,1
Tanzania,West Bank and Gaza Strip,1
Tanzania,France,1
Tunisia,Somalia,1
Tunisia,West Bank and Gaza Strip,1
Tunisia,France,1
Somalia,West Bank and Gaza Strip,1
Somalia,France,1
West Bank and Gaza Strip,France,1
India,Pakistan,15
India,Philippines,7
Pakistan,Philippines,3
India,Japan,1
India,Canada,1
India,Iran,5
Pakistan,Japan,1
Pakistan,Canada,1
Pakistan,Iran,3
Japan,Canada,1
Japan,Iran,1
Canada,Iran,1
Afghanistan,India,8
India,Nepal,5
India,Thailand,7
India,Peru,3
Nepal,Thailand,1
Nepal,Peru,1
Thailand,Peru,1
Philippines,Malaysia,2
Sri Lanka,Pakistan,4
Sri Lanka,Bangladesh,3
Sri Lanka,Thailand,4
Sri Lanka,Indonesia,3
Sri Lanka,Myanmar,1
Sri Lanka,Turkey,3
Sri Lanka,Iraq,2
Sri Lanka,Uganda,2
Sri Lanka,Nigeria,4
Sri Lanka,Yemen,2
Sri Lanka,Cameroon,2
Sri Lanka,Iran,4
Sri Lanka,Senegal,1
Sri Lanka,Papua New Guinea,1
Sri Lanka,Sudan,1
Sri Lanka,Angola,1
Sri Lanka,Azerbaijan,1
Sri Lanka,French Guiana,1
Sri Lanka,Mali,1
Sri Lanka,Kosovo,1
Sri Lanka,France,3
Sri Lanka,Comoros,1
Sri Lanka,Taiwan,1
