id,label,Region,Latitude,Longitude,Number of attacks,Lethality,Group Presence,Mean year of Attacks,Pondered Mean Year,Pondered Importance of the Country
Afghanistan,Afghanistan,South Asia,33.93911,67.709953,7851,126919,15,2013.1741179467583,2013.6938204681726,0
Sri Lanka,Sri Lanka,South Asia,7.873054,80.771797,2335,54590,11,1994.0441113490365,1993.8609452280637,0
India,India,South Asia,20.593684,78.96288,6346,54493,47,2006.6682949889694,2001.055034591599,0
Pakistan,Pakistan,South Asia,30.375321,69.345116,2933,49355,33,2011.090692124105,2011.3123087833046,0
Philippines,Philippines,Southeast Asia,12.879721,121.774017,4351,30312,14,2004.9478280854976,1997.6538334652944,0
United States,United States,North America,37.09024,-95.712891,5,25496,2,2002.8,2000.9999999999998,0
Bangladesh,Bangladesh,South Asia,23.684994,90.356331,486,6100,13,2001.7860082304526,1997.6080327868851,0
Japan,Japan,East Asia,36.204824,138.252924,9,6076,2,1992.6666666666667,1994.8977946017117,0
Nepal,Nepal,South Asia,28.394857,84.124008,279,5378,7,2004.1146953405018,2003.4317590182222,0
Kenya,Kenya,Sub-Saharan Africa,0.023559,37.906193,3,4720,1,2000.6666666666667,1998.0406779661016,0
Thailand,Thailand,Southeast Asia,15.870032,100.992541,691,3603,15,2010.5296671490594,2005.796835970025,0
Indonesia,Indonesia,Southeast Asia,0.789275,113.921327,247,3324,7,1999.7894736842106,2000.395306859206,0
Myanmar,Myanmar,Southeast Asia,21.913965,95.956223,203,3002,7,2004.256157635468,2000.234510326449,0
Spain,Spain,Western Europe,40.463667,-3.74922,8,2373,3,1999.125,2004.0,0
China,China,East Asia,35.86166,104.195397,92,1734,4,2003.0434782608695,2011.6291810841985,0
Algeria,Algeria,Middle East & North Africa,28.033886,1.659626,66,1459,3,1996.9242424242425,1998.0555174777246,0
Cambodia,Cambodia,Southeast Asia,12.565679,104.990963,158,1371,1,1994.0759493670887,1994.3026987600292,0
Canada,Canada,North America,56.130366,-106.346771,2,988,1,1985.5,1985.001012145749,0
United Kingdom,United Kingdom,Western Europe,55.378051,-3.435973,16,961,4,1994.625,2004.8033298647244,0
Turkey,Turkey,Middle East & North Africa,38.963745,35.243322,13,660,4,1991.6153846153845,2000.9045454545455,0
Iraq,Iraq,Middle East & North Africa,33.223191,43.679291,22,544,4,2007.3636363636363,2007.077205882353,0
Uganda,Uganda,Sub-Saharan Africa,1.373333,32.290275,6,518,3,1988.3333333333333,1993.6795366795368,0
Egypt,Egypt,Middle East & North Africa,26.820553,30.802498,60,190,1,1992.0333333333333,1992.378947368421,0
Nigeria,Nigeria,Sub-Saharan Africa,9.081999,8.675277,6,188,6,1999.5,1994.526595744681,0
Yemen,Yemen,Middle East & North Africa,15.552727,48.516388,17,135,4,2001.6470588235295,2001.4962962962964,0
El Salvador,El Salvador,Central America & Caribbean,13.794185,-88.89653,10,121,3,1984.6,1986.0578512396694,0
Tanzania,Tanzania,Sub-Saharan Africa,-6.369028,34.888822,1,118,1,1998.0,1998.0,0
Peru,Peru,South America,-9.189967,-75.015152,19,114,4,1986.2631578947369,1986.1403508771928,0
Tunisia,Tunisia,Middle East & North Africa,33.886917,9.537499,1,93,1,2002.0,2002.0000000000002,0
Somalia,Somalia,Sub-Saharan Africa,5.152149,46.199616,2,69,2,2007.5,2006.7826086956522,0
Cameroon,Cameroon,Sub-Saharan Africa,7.369722,12.354722,7,54,2,2013.4285714285713,2013.296296296296,0
Iran,Iran,Middle East & North Africa,32.427908,53.688046,9,54,6,1982.7777777777778,1983.7592592592591,0
Lebanon,Lebanon,Middle East & North Africa,33.854721,35.862285,25,50,6,1983.52,1983.6200000000001,0
Ivory Coast,Ivory Coast,Sub-Saharan Africa,5.38793258667488,-4.03357621100678,1,48,1,1995.0,1995.0,0
Malaysia,Malaysia,Southeast Asia,4.210484,101.975766,20,45,2,2012.45,2002.9111111111113,0
Senegal,Senegal,Sub-Saharan Africa,14.497401,-14.452362,3,24,1,1998.0,1999.5833333333333,0
Syria,Syria,Middle East & North Africa,34.802075,38.996815,3,22,1,1991.3333333333333,2005.909090909091,0
Papua New Guinea,Papua New Guinea,Australasia & Oceania,-6.314993,143.95555,1,19,1,1996.0,1996.0,0
Honduras,Honduras,Central America & Caribbean,15.199999,-86.241905,2,18,2,1980.5,1981.0,0
Sudan,Sudan,Sub-Saharan Africa,12.862807,30.217636,2,16,2,1984.0,1984.0,0
Angola,Angola,Sub-Saharan Africa,-11.202692,17.873887,2,15,2,1990.0,1979.0,0
Azerbaijan,Azerbaijan,Central Asia,40.143105,47.576927,2,15,2,2004.5,2017.0,0
Guatemala,Guatemala,Central America & Caribbean,15.783471,-90.230759,5,13,3,1980.6,1981.0,0
Ghana,Ghana,Sub-Saharan Africa,7.946527,-1.023194,1,12,1,1995.0,1995.0,0
French Guiana,French Guiana,South America,3.933889,-53.125782,2,12,1,1997.0,1997.0,0
Tajikistan,Tajikistan,Central Asia,38.861034,71.276093,2,12,1,1993.5,1992.75,0
Turkmenistan,Turkmenistan,Central Asia,38.969719,59.556278,1,11,1,2014.0,2014.0,0
Ecuador,Ecuador,South America,-1.831239,-78.183406,1,8,1,1989.0,1989.0,0
